epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77017,1.99802,4.3341,1.84095,0.00172,0.45833,0.00258,0.00113,1.83989,5.10692,2.02313,0,0,0
2,9.51108,1.5573,4.21799,1.723,0.00204,0.54167,0.00382,0.00168,1.82562,4.962,1.97324,1.65875e-05,1.65875e-05,1.65875e-05
3,14.2441,1.7504,4.33995,1.74458,0.00269,0.79167,0.00856,0.00312,1.72169,5.05456,1.90567,3.30099e-05,3.30099e-05,3.30099e-05
4,18.5599,1.69733,4.33235,1.73567,0.00301,0.91667,0.01622,0.00604,1.64815,4.96743,1.76169,4.92674e-05,4.92674e-05,4.92674e-05
5,22.5135,1.58438,3.94739,1.56222,0.003,0.91667,0.03404,0.01423,1.69388,4.60908,1.69943,6.53597e-05,6.53597e-05,6.53597e-05
6,25.7143,1.84845,3.9963,1.65295,0.003,0.91667,0.05116,0.0254,1.72848,4.55794,1.57581,8.12871e-05,8.12871e-05,8.12871e-05
7,28.826,1.5796,4.15539,1.48059,0.003,0.91667,0.10683,0.05835,1.71277,4.36975,1.50447,9.70494e-05,9.70494e-05,9.70494e-05
8,31.9567,1.65253,3.84879,1.60815,0.003,0.91667,0.26997,0.13836,1.63966,4.27694,1.42188,0.000112647,0.000112647,0.000112647
9,35.1793,1.74922,4.07675,1.60221,0.00335,1,0.53588,0.28986,1.50145,4.18186,1.28548,0.000128079,0.000128079,0.000128079
10,38.372,1.48323,3.57572,1.31732,0.00336,1,0.59765,0.33713,1.50883,3.91305,1.18819,0.000143346,0.000143346,0.000143346
11,41.5536,1.15638,3.29767,1.1338,0.00337,1,0.65015,0.38266,1.40046,3.80451,1.13511,0.000158448,0.000158448,0.000158448
12,44.7496,1.45867,3.10147,1.31539,0.00338,1,0.67779,0.40638,1.3883,3.7459,1.12733,0.000173386,0.000173386,0.000173386
13,47.8601,1.56998,3.39421,1.29747,0.00339,1,0.67343,0.38769,1.39553,3.75508,1.1347,0.000188158,0.000188158,0.000188158
14,51.1112,1.31305,2.76628,1.11529,0.0034,1,0.69025,0.38917,1.45944,3.76353,1.17862,0.000202765,0.000202765,0.000202765
15,54.2534,1.3847,2.44169,1.27572,0.00339,1,0.70305,0.34459,1.48648,3.91874,1.24279,0.000217207,0.000217207,0.000217207
16,57.442,1.44636,2.65116,1.27965,0.0034,1,0.70523,0.329,1.5682,3.8978,1.31492,0.000231484,0.000231484,0.000231484
